customer_id,issue_type,status,created_at,resolved_at,issue_description
CUST071,Billing,Open,13/01/2019,08/08/2012,posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin
CUST045,Billing,Closed,30/08/2005,13/02/2019,congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam
CUST059,General Inquiry,Closed,20/07/2004,30/03/2010,amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas
CUST014,Billing,Pending,14/09/2012,24/05/2015,pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor
CUST005,Technical,Closed,12/07/2015,08/09/2011,ut ultrices vel augue vestibulum ante ipsum primis in faucibus
CUST029,General Inquiry,Closed,13/01/2014,23/02/2008,morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor
CUST063,General Inquiry,Pending,31/05/2013,24/04/2014,porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper
CUST019,Technical,Closed,10/07/2017,03/08/2013,viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui
CUST005,Billing,Closed,21/01/2007,13/06/2007,ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id
CUST094,General Inquiry,Open,11/01/2015,11/02/2016,hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur
CUST028,Billing,Pending,06/03/2004,13/04/2021,ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus
CUST048,Billing,Pending,29/11/2011,01/02/2006,praesent blandit lacinia erat vestibulum sed magna at nunc commodo
CUST096,Billing,Closed,29/11/2013,18/02/2007,in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis
CUST024,General Inquiry,Pending,17/01/2015,05/09/2020,rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor
CUST009,Technical,Closed,26/05/2011,09/07/2019,etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut
CUST002,Technical,Pending,09/07/2004,04/05/2005,nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis
CUST031,General Inquiry,Closed,10/05/2012,17/12/2015,vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus
CUST053,Billing,Open,04/03/2019,14/03/2003,primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus
CUST079,Technical,Pending,26/07/2021,29/11/2005,tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque
CUST098,Technical,Closed,27/08/2007,16/10/2021,eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in
CUST005,General Inquiry,Pending,17/05/2017,20/07/2011,quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus
CUST049,Billing,Pending,04/03/2010,02/08/2022,nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur
CUST025,Technical,Open,28/11/2008,27/10/2021,libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis
CUST029,Billing,Open,08/08/2005,21/01/2010,maecenas tincidunt lacus at velit vivamus vel nulla eget eros
CUST027,Technical,Closed,17/07/2019,29/07/2020,congue risus semper porta volutpat quam pede lobortis ligula sit amet
CUST084,General Inquiry,Open,04/01/2020,04/01/2010,dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut
CUST010,Billing,Open,27/08/2021,10/06/2012,primis in faucibus orci luctus et ultrices posuere cubilia curae
CUST056,General Inquiry,Closed,13/10/2004,18/09/2015,tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque
CUST094,General Inquiry,Pending,08/08/2015,09/10/2005,faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum
CUST037,Billing,Pending,17/04/2006,28/12/2009,sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis
CUST004,Technical,Closed,09/10/2022,20/02/2012,odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus
CUST061,General Inquiry,Pending,02/06/2010,10/09/2004,donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit
CUST069,General Inquiry,Closed,23/10/2016,09/11/2016,orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio
CUST067,Technical,Pending,14/08/2015,14/11/2009,donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed
CUST038,General Inquiry,Open,21/08/2006,08/04/2007,lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi
CUST066,Billing,Open,30/11/2007,30/04/2006,metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in
CUST094,Technical,Open,04/03/2019,17/08/2007,in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec
CUST040,Billing,Pending,18/07/2014,15/04/2015,est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis
CUST043,Billing,Pending,04/09/2005,03/08/2005,tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit
CUST069,Billing,Open,21/06/2005,02/01/2006,odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam
CUST050,Technical,Closed,11/01/2018,12/01/2010,ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin
CUST069,General Inquiry,Pending,13/05/2010,12/09/2019,faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus
CUST022,Technical,Pending,08/12/2004,21/12/2019,ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl
CUST092,Technical,Pending,13/02/2019,18/09/2010,sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus
CUST064,Billing,Closed,26/01/2018,06/01/2014,rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean
CUST076,Technical,Open,16/08/2016,24/02/2020,ac nibh fusce lacus purus aliquet at feugiat non pretium
CUST033,Billing,Closed,05/10/2008,19/11/2016,bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at
CUST095,Billing,Open,07/04/2015,19/04/2004,tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed
CUST080,Technical,Closed,18/07/2022,30/01/2011,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec
CUST044,Technical,Closed,04/10/2008,10/09/2017,erat vestibulum sed magna at nunc commodo placerat praesent blandit
CUST080,Billing,Open,31/01/2020,02/07/2008,in consequat ut nulla sed accumsan felis ut at dolor quis odio
CUST076,Technical,Closed,04/03/2022,17/07/2012,aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum
CUST050,Billing,Pending,08/12/2011,21/04/2006,morbi odio odio elementum eu interdum eu tincidunt in leo maecenas
CUST082,Technical,Open,15/11/2006,01/09/2007,posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae
CUST038,Billing,Pending,28/03/2003,02/06/2006,cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra
CUST072,Technical,Pending,29/04/2006,13/10/2007,justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis
CUST076,Technical,Closed,28/06/2013,01/04/2020,accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor
CUST037,General Inquiry,Closed,03/05/2014,24/08/2019,accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam
CUST067,Billing,Open,25/12/2013,20/04/2004,erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit
CUST051,Billing,Closed,04/10/2007,11/05/2018,amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius
CUST031,Technical,Closed,06/04/2019,28/12/2003,mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie
CUST011,Billing,Open,11/07/2011,28/07/2018,non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus
CUST016,Technical,Pending,14/04/2015,16/01/2021,velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat
CUST026,General Inquiry,Pending,20/02/2021,07/09/2008,vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat
CUST051,Technical,Open,16/07/2007,08/01/2004,neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim
CUST098,Technical,Pending,18/09/2012,03/12/2016,ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet
CUST095,Billing,Open,19/10/2014,20/03/2004,erat id mauris vulputate elementum nullam varius nulla facilisi cras
CUST045,General Inquiry,Open,27/08/2005,24/05/2004,nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem
CUST098,Billing,Closed,12/06/2005,28/05/2005,pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut
CUST081,Billing,Pending,23/03/2013,10/02/2017,et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet
CUST042,Technical,Open,01/03/2013,14/08/2017,dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat
CUST001,Billing,Pending,30/11/2005,01/11/2021,vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa
CUST008,General Inquiry,Open,31/07/2003,07/05/2012,lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id
CUST054,General Inquiry,Open,10/01/2006,22/11/2018,consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue
CUST098,General Inquiry,Pending,29/01/2017,28/02/2015,imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris
CUST079,Technical,Closed,12/01/2019,19/06/2021,leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat
CUST098,Technical,Open,27/09/2014,15/10/2016,donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet
CUST086,Technical,Closed,11/04/2008,07/06/2009,at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae
CUST014,General Inquiry,Open,29/04/2022,20/08/2013,fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in
CUST033,General Inquiry,Open,15/03/2011,29/10/2020,libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras
CUST035,General Inquiry,Closed,26/11/2019,13/12/2018,duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus
CUST025,Billing,Open,21/12/2003,01/04/2017,pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in
CUST044,General Inquiry,Open,15/10/2005,02/11/2018,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam
CUST063,Technical,Closed,10/08/2009,10/04/2021,enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus
CUST096,General Inquiry,Closed,20/04/2022,15/03/2004,elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed
CUST023,Billing,Closed,24/12/2006,09/09/2019,ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla
